RESTAURANT_ID,SEATING_CAPACITY,DATE_OPEN,TIME_SLOT,reserved_seats
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
0,127,2019-6-30,14:0:00,125
